Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
HICHAM,NFCDIE-03-LHW8U140TECYJ4H0U0JE4K1TF3U4U9,Edge OSS - Windows (Cadmium),2024-10-18T14:10:22.879,2024-10-18T14:21:42.271,2024-10-18T14:10:35.907,2024-10-18T14:10:35.907,2024-10-18T14:11:27.868,2024-10-18T14:11:27.868,,,
HICHAM,NFCDIE-03-LETMHD74DG1XNLVT708LLAQKFNPA8Y,Edge OSS - Windows (Cadmium),2024-09-07T22:25:08.953,2024-10-13T15:33:48.536,2024-09-07T22:25:29.544,2024-10-13T15:33:48.536,2024-09-07T22:25:08.953,2024-10-13T15:33:48.536,2024-09-07T22:25:29.544,2024-10-13T15:33:48.536,
HICHAM,NFAPPL-02-IPHONE13=2-294B5ACB1FBFF88D3EFFEDB98FF00A15B2CE582E61A41257854DF41C6FDD0306,iPhone 12,2023-09-26T01:06:56.598,2024-09-30T01:38:32.984,2023-10-29T02:43:57.884,2024-09-29T01:05:26.920,2023-09-26T01:06:56.598,2024-09-30T01:38:32.984,2023-10-29T02:43:57.884,2024-09-29T01:05:26.920,
HICHAM,SSTV-NVT5-0000000000000014773308,Samsung 2015 NT14M DTV Smart TV,2020-03-25T23:33:46.580,2024-11-24T17:11:47.840,2020-05-21T18:43:11.584,2024-11-24T17:11:47.840,2020-03-25T23:33:46.580,2024-08-19T01:20:19.432,2020-05-21T18:43:11.584,2024-08-19T01:20:19.432,
HICHAM,NFUWA-001-9403DEC498EC7AAF285B48FCB103DBB9B8DA307A8F5066B5EEB50BC4D8E1E04665AEC4F4A43F1EBC5AA9BEBC1D4E6F1CC8D151268EA0D36B7297F09B3DD1127D,Netflix Windows App - Cadmium Windows Mobile,2024-05-23T17:51:46.388,2024-07-20T00:36:06.875,2024-05-23T18:13:35.256,2024-06-20T17:49:24.433,2024-05-23T17:51:46.388,2024-07-20T00:36:06.875,2024-05-23T18:13:35.256,2024-06-20T17:49:24.433,
HICHAM,SSTV-KS20-0000000000000017851850,Samsung CE 2020 Kant-S2 DTV Smart TV,2024-07-08T14:44:11.684,2024-07-14T00:09:06.384,2024-07-08T14:44:44.270,2024-07-14T00:09:06.384,2024-07-08T22:56:47.340,2024-07-08T22:56:47.340,,,
HICHAM,SSTV-NVT5-0000000000000014773308,Samsung 2015 NT14M DTV Smart TV,2020-03-25T23:33:46.580,2024-11-24T17:11:47.840,2020-05-21T18:43:11.584,2024-11-24T17:11:47.840,2022-10-23T02:31:54.056,2024-05-30T00:41:54.440,2023-05-22T00:28:14.052,2024-05-30T00:41:54.440,
HICHAM,NFUWA-001-6EA8F48AB6EFB4F2C1C5785DE18B88F498594DF6A786D57F72DB3902C1F54AC8,Netflix Windows App - Cadmium Windows Mobile,2024-01-12T22:35:41.470,2024-05-18T13:57:54.847,2024-01-12T22:53:07.592,2024-05-18T13:57:54.847,2024-01-12T22:35:41.470,2024-05-18T13:57:54.847,2024-01-12T22:53:07.592,2024-05-18T13:57:54.847,
HICHAM,NFUWA-001-0B2AD487A619F779D25CA1FA2B424AFE442A74BA25F2EC09585CC837A1C1379465AEC4F4A43F1EBC5AA9BEBC1D4E6F1CC8D151268EA0D36B7297F09B3DD1127D,Netflix Windows App - Cadmium Windows Mobile,2021-08-31T17:01:17.132,2024-05-16T21:47:50.028,2021-08-31T17:01:17.132,2024-05-08T18:17:45.859,2021-08-31T17:01:17.132,2024-05-16T21:47:50.028,2021-08-31T17:01:17.132,2024-05-08T18:17:45.859,
HICHAM,NFCDCH-02-L10P38E18R94W2QN5YM4D8DM02KMLV,Chrome PC (Cadmium),2024-04-05T20:01:00.363,2024-04-05T20:12:18.891,2024-04-05T20:01:15.927,2024-04-05T20:12:18.891,2024-04-05T20:01:00.363,2024-04-05T20:12:18.891,2024-04-05T20:01:15.927,2024-04-05T20:12:18.891,
HICHAM,NFCDCH-02-KTY5KZR5KGECU1VWVW4HJG837UP1CK,Chrome PC (Cadmium),2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,
HICHAM,NFCDCH-02-KTY5KZR5KGECU1VWVW4HJG837UP1CK,Chrome PC (Cadmium),2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-19T23:29:14.518,2024-01-19T23:29:14.518,,,
HICHAM,NFUWA-001-044BA4B01C1364161997336CC27C21AE5017FA188FFF113D6228A0A2AFC560F55FD7A2E8A04FC8E6E84C37311EE0CCF42508989814DD4D841FE1529F1562E6A8,Netflix Windows App - Cadmium Windows Mobile,2023-02-19T22:45:51.822,2023-11-18T22:24:20.771,2023-02-19T22:56:46.870,2023-11-18T22:24:20.771,2023-02-19T22:45:51.822,2023-11-18T22:24:20.771,2023-02-19T22:56:46.870,2023-11-18T22:24:20.771,
HICHAM,NFAPPL-02-IPHONE13=2-294B5ACB1FBFF88D3EFFEDB98FF00A15B2CE582E61A41257854DF41C6FDD0306,iPhone 12,2023-09-26T01:06:56.598,2024-09-30T01:38:32.984,2023-10-29T02:43:57.884,2024-09-29T01:05:26.920,2023-10-09T16:58:20.137,2023-10-09T17:02:16.422,,,
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-9E9119EAB982141790375CE3DD95E2148ACCA30256793134E287F5D124180DBE,Android DefaultWidevineL3Phone Android Phone,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,
HICHAM,NFAPPL-02-IPHONE13=2-0D39EEA2829DEF678C94B8B4DE08E48F3EF3BB787DCCC1AE31F6F84553686A75,iPhone 12,2022-05-27T23:53:16.236,2023-09-10T15:07:06.060,2023-04-03T05:27:55.089,2023-04-09T03:17:37.728,2022-05-27T23:53:16.236,2023-09-10T15:07:06.060,2023-04-03T05:27:55.089,2023-04-09T03:17:37.728,
HICHAM,NFCDCH-02-K2YWCQNHGVC6FMXU5K39R7NAXC6JUH,Chrome PC (Cadmium),2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,
HICHAM,NFUWA-001-0B2AD487A619F779D25CA1FA2B424AFE442A74BA25F2EC09585CC837A1C1379465AEC4F4A43F1EBC5AA9BEBC1D4E6F1CC8D151268EA0D36B7297F09B3DD1127D,Netflix Windows App - Cadmium Windows Mobile,2021-08-31T17:01:17.132,2024-05-16T21:47:50.028,2021-08-31T17:01:17.132,2024-05-08T18:17:45.859,2023-03-31T01:27:57.975,2023-03-31T01:27:57.975,,,
HICHAM,NFCDCH-MC-JKDC0TEJ2LHDYLT5MR7H3RX5YNTGVU,Netflix Chrome MAC (Cadmium) HTML 5,2023-02-18T20:41:05.632,2024-03-10T00:51:39.798,2023-02-18T21:56:03.454,2024-03-10T00:51:39.798,2023-03-30T10:44:21.635,2023-03-30T10:44:59.424,2023-03-30T10:44:51.288,2023-03-30T10:44:51.288,
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-22593-0AA5459B002FBB9C2892266AF1F5B7A92D58B725C05DD3113D52F1D9CE554A2C9,Android DefaultWidevineL3Phone Android Phone,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,
