Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
HICHAM,www,browseTitles,/watch/81647023?trackId=155573560,/browse,2024-11-10 21:24:26
HICHAM,www,playback,/watch/81647021?trackId=14170286,/watch/81647022?trackId=155573558,2024-11-10 01:01:25
HICHAM,www,playback,/watch/81647022?trackId=155573558,/watch/81647023?trackId=155573560,2024-11-10 01:01:25
HICHAM,www,playback,/watch/80236318?trackId=14170286&tctx=2%2C0%2C3f9c8aaa-a30c-4530-bd70-e199da6e41f8-50807221%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-B77417C1EB_p_1731194971532%2CNES_DC4E0FB57071175540631B492DD90F_p_1731194971532%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647021?trackId=14170286,2024-11-10 00:19:48
HICHAM,www,playback,/watch/81647021?trackId=14170286,/watch/81647022?trackId=155573558,2024-11-10 00:19:48
HICHAM,www,browseTitles,https://www.netflix.com/browse,/browse,2024-11-09 23:30:26
HICHAM,www,playback,/browse,/watch/80236318?trackId=14170286&tctx=2%2C0%2C3f9c8aaa-a30c-4530-bd70-e199da6e41f8-50807221%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-B77417C1EB_p_1731194971532%2CNES_DC4E0FB57071175540631B492DD90F_p_1731194971532%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-11-09 23:30:26
HICHAM,www,playback,/browse,/watch/80236318?trackId=14170286&tctx=2%2C0%2C3f9c8aaa-a30c-4530-bd70-e199da6e41f8-50807221%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-B77417C1EB_p_1731194971532%2CNES_DC4E0FB57071175540631B492DD90F_p_1731194971532%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-11-09 23:30:26
HICHAM,www,playback,/watch/80236318?trackId=14170286&tctx=2%2C0%2C3f9c8aaa-a30c-4530-bd70-e199da6e41f8-50807221%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-B77417C1EB_p_1731194971532%2CNES_DC4E0FB57071175540631B492DD90F_p_1731194971532%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647021?trackId=14170286,2024-11-09 23:30:26
HICHAM,www,search,/search?q=cree,/search?q=creed,2024-10-20 22:18:17
HICHAM,www,browseTitles,/search?q=creed,/browse,2024-10-20 22:18:17
HICHAM,www,browseTitles,/search?q=boxing,/browse,2024-10-20 22:17:59
HICHAM,www,search,/browse,/search?q=c,2024-10-20 22:17:59
HICHAM,www,search,/browse,/search?q=c,2024-10-20 22:17:59
HICHAM,www,search,/search?q=c,/search?q=cr,2024-10-20 22:17:59
HICHAM,www,search,/search?q=c,/search?q=cr,2024-10-20 22:17:59
HICHAM,www,search,/search?q=cr,/search?q=cre,2024-10-20 22:17:59
HICHAM,www,search,/search?q=cr,/search?q=cre,2024-10-20 22:17:59
HICHAM,www,search,/search?q=cre,/search?q=cree,2024-10-20 22:17:59
HICHAM,www,search,/search?q=cre,/search?q=cree,2024-10-20 22:17:59
HICHAM,www,search,/search?q=cree,/search?q=creed,2024-10-20 22:17:59
HICHAM,www,search,/search?q=boxin,/search?q=boxing,2024-10-20 22:17:57
HICHAM,www,browseTitles,/search?q=boxing,/browse,2024-10-20 22:17:57
HICHAM,www,search,/search?q=box,/search?q=boxi,2024-10-20 22:17:00
HICHAM,www,search,/search?q=boxi,/search?q=boxin,2024-10-20 22:17:00
HICHAM,www,search,/search?q=boxi,/search?q=boxin,2024-10-20 22:17:00
HICHAM,www,search,/search?q=boxin,/search?q=boxing,2024-10-20 22:17:00
HICHAM,www,search,/search?q=b,/search?q=bo,2024-10-20 22:16:59
HICHAM,www,search,/search?q=bo,/search?q=box,2024-10-20 22:16:59
HICHAM,www,search,/search?q=bo,/search?q=box,2024-10-20 22:16:59
HICHAM,www,search,/search?q=box,/search?q=boxi,2024-10-20 22:16:59
HICHAM,www,search,/browse,/search?q=b,2024-10-20 22:16:58
HICHAM,www,search,/search?q=b,/search?q=bo,2024-10-20 22:16:58
HICHAM,www,browseTitles,/browse?jbv=81444051,/browse,2024-10-20 22:16:57
HICHAM,www,search,/browse,/search?q=b,2024-10-20 22:16:57
HICHAM,www,movieDetails,/browse,/browse?jbv=81444051,2024-10-20 22:16:27
HICHAM,www,browseTitles,/browse?jbv=81444051,/browse,2024-10-20 22:16:27
HICHAM,www,browseTitles,/browse?jbv=80179190,/browse,2024-10-20 22:16:20
HICHAM,www,browseTitles,/browse,/browse?jbv=81444051,2024-10-20 22:16:20
HICHAM,www,movieDetails,/browse,/browse?jbv=80179190,2024-10-20 22:16:07
HICHAM,www,browseTitles,/browse?jbv=80179190,/browse,2024-10-20 22:16:07
HICHAM,www,browseTitles,/browse?jbv=80117470,/browse,2024-10-20 22:16:00
HICHAM,www,browseTitles,/browse,/browse?jbv=80179190,2024-10-20 22:16:00
HICHAM,www,movieDetails,/browse,/browse?jbv=80117470,2024-10-20 22:15:45
HICHAM,www,browseTitles,/browse?jbv=80117470,/browse,2024-10-20 22:15:45
HICHAM,www,browseTitles,/watch/81953796?trackId=250062974,/browse,2024-10-20 22:15:30
HICHAM,www,browseTitles,/browse,/browse?jbv=80117470,2024-10-20 22:15:30
HICHAM,www,postPlay,/watch/81647020?trackId=250062974,/watch/81953796?trackId=250062974,2024-10-20 22:15:13
HICHAM,www,browseTitles,/watch/81953796?trackId=250062974,/browse,2024-10-20 22:15:13
HICHAM,www,playback,/watch/81647020?trackId=155573560,/watch/81953796?trackId=155573560,2024-10-20 22:14:26
HICHAM,www,playback,/watch/81953796?trackId=155573560,/watch/81647020?trackId=250062974,2024-10-20 22:14:26
HICHAM,www,playback,/watch/81953796?trackId=155573560,/watch/81647020?trackId=250062974,2024-10-20 22:14:26
HICHAM,www,playback,/watch/81647020?trackId=250062974,/watch/81953796?trackId=250062974,2024-10-20 22:14:26
HICHAM,www,playback,/watch/81647019?trackId=155573560,/watch/81647020?trackId=155573560,2024-10-20 22:14:25
